Micromarket,User Name,Date,Product Code,Product,Category,Change Type,Cost,Quantity,Total Product cost,Product price,Total Product Price,Site,TotalCost
The Westin Long Beach,Rony Perez,2025-12-08,PC10732,Chobani Peach,Fresh,Overage,1.35,1.0,1.35,4.5,4.5,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC21854,Fiji Water 16.9oz,Bev Water,Overage,1.16,2.0,2.32,7.5,15.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC16236,Boulder Jalapeno Cheddar Chips,Chips,Overage,0.54,1.0,0.54,4.75,4.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10874,Blue Diamond Almonds Smokehouse,Nuts,Overage,0.87,1.0,0.87,4.5,4.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10935,Dove Vanilla Dark Chocolate Bar,Frozen Ice Cream,Overage,1.81,5.0,9.05,6.25,31.25,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11010,Nestle Crunch Dibs,Frozen Ice Cream,Overage,2.41,3.0,7.23,8.25,24.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10884,Cereal Froot Loops,Cereal,Overage,1.32,1.0,1.32,5.0,5.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11062,Skittles Sour,Candy,Overage,1.17,2.0,2.34,4.25,8.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10986,M&M Plain,Candy,Overage,1.17,4.0,4.68,4.25,17.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10855,SnakClub Almonds Raw Premium Pack,Nuts,Overage,2.37,4.0,9.48,6.75,27.0,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR15436,Cereal Lucky Charms,Cereal,Overage,1.22,5.0,6.1,5.0,25.0,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR14634,Sour Patch Kids Watermelon,Candy,Overage,1.17,5.0,5.85,4.25,21.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26229,FR SLB Triangle Tuna Salad Wheat,Fresh Food,Overage,1.92,1.0,1.92,8.99,8.99,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11026,Otis Muffin Wild Blueberry,Pastry,Overage,0.89,1.0,0.89,3.75,3.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26225,FR SLB Sub Turkey & Cheese,Fresh Food,Overage,3.56,2.0,7.12,12.49,24.98,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10852,Alka Seltzer,Sundry Items,Overage,1.87,1.0,1.87,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10934,Dove Milk Chocolate Almond Bar,Frozen Ice Cream,Overage,1.81,7.0,12.67,6.25,43.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR19999,Pepsi Zero Sugar 20oz,Bev 20 Oz Bottle,Overage,1.05,1.0,1.05,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR20000,Dole Lemonade 20oz,Bev 20 Oz Bottle,Overage,1.04,4.0,4.16,6.0,24.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10895,Chex Mix,Snack,Overage,0.49,1.0,0.49,3.25,3.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR20024,Burt's Bees Cucumber & Mint Facial Towelettes,Sundry Items,Overage,1.85,1.0,1.85,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR15125,RXBAR Protein Blueberry,Healthy Bars,Overage,1.8,1.0,1.8,4.75,4.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11068,Sour Patch Kids,Candy,Overage,1.17,3.0,3.51,4.25,12.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10851,Albanese Gummi Bears 12 Flavor - 3.5oz,Candy,Overage,0.86,1.0,0.86,5.75,5.75,,
