Location,Product ID,Quantity_Start,Quantity_End,Total_Depletion,Sales_Quantity,Sales_Value,Known_Adjustments_Qty,Shrinkage_Qty,Implied_Unit_Price,Shrinkage_Value
Stock,PC11005,5.0,2.0,3.0,0.0,0.0,0.0,3.0,5.805555555555555,17.416666666666664
Stock,PC11007,8.0,5.0,3.0,0.0,0.0,0.0,3.0,2.6411594202898554,7.923478260869566
Stock,PC11019,3.0,0.0,3.0,0.0,0.0,0.0,3.0,4.5,13.5
Stock,PC11025,5.0,2.0,3.0,0.0,0.0,0.0,3.0,3.609891891891892,10.829675675675677
Stock,PC11038,9.0,6.0,3.0,0.0,0.0,0.0,3.0,3.9010752688172046,11.703225806451613
Stock,PC11051,7.0,4.0,3.0,0.0,0.0,0.0,3.0,4.360666666666666,13.081999999999997
Stock,PC16247,0.0,-3.0,3.0,0.0,0.0,0.0,3.0,0.41,1.23
Stock,PC16271,6.0,3.0,3.0,0.0,0.0,0.0,3.0,5.642926829268292,16.92878048780488
Stock,PC16274,5.0,2.0,3.0,0.0,0.0,0.0,3.0,5.756222222222222,17.268666666666668
Stock,PC16488,10.0,7.0,3.0,0.0,0.0,0.0,3.0,0.84,2.52
Stock,AVR14641,19.0,17.0,2.0,0.0,0.0,0.0,2.0,6.533963963963964,13.067927927927927
Stock,AVR15563,5.0,3.0,2.0,0.0,0.0,0.0,2.0,0.41,0.82
Stock,AVR15564,0.0,-2.0,2.0,0.0,0.0,0.0,2.0,1.0376190476190477,2.0752380952380953
Stock,AVR19408,10.0,8.0,2.0,0.0,0.0,0.0,2.0,5.172033898305084,10.344067796610169
Stock,AVR19900,2.0,0.0,2.0,0.0,0.0,0.0,2.0,7.25,14.5
Stock,AVR26217,4.0,2.0,2.0,0.0,0.0,0.0,2.0,9.386190476190476,18.772380952380953
Stock,AVR26220,1.0,-1.0,2.0,0.0,0.0,0.0,2.0,9.693653846153847,19.387307692307694
Stock,AVR26238,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.67,9.34
Stock,PC10765,7.0,5.0,2.0,0.0,0.0,0.0,2.0,1.2019101123595506,2.403820224719101
Stock,PC10823,11.0,9.0,2.0,0.0,0.0,0.0,2.0,5.239877300613497,10.479754601226993
Stock,PC10833,6.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0680000000000005,8.136000000000001
Stock,PC10876,6.0,4.0,2.0,0.0,0.0,0.0,2.0,3.525806451612903,7.051612903225806
Stock,PC10931,3.0,1.0,2.0,0.0,0.0,0.0,2.0,3.081881533101045,6.16376306620209
Stock,PC10942,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Stock,PC11084,7.0,5.0,2.0,0.0,0.0,0.0,2.0,3.1753164556962026,6.350632911392405
Stock,PC16248,7.0,5.0,2.0,0.0,0.0,0.0,2.0,0.9958333333333335,1.991666666666667
Stock,PC16263,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.3866666666666667,2.7733333333333334
Stock,PC16522,4.0,2.0,2.0,0.0,0.0,0.0,2.0,3.163,6.326
Stock,PC21222,15.0,13.0,2.0,0.0,0.0,0.0,2.0,5.204411764705882,10.408823529411764
Stock,AVR00145,7.0,6.0,1.0,0.0,0.0,0.0,1.0,5.956438356164384,5.956438356164384
Stock,AVR15434,3.0,2.0,1.0,0.0,0.0,0.0,1.0,4.560526315789474,4.560526315789474
Stock,AVR16060,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Stock,AVR16884,4.0,3.0,1.0,0.0,0.0,0.0,1.0,5.75,5.75
Stock,AVR18525,4.0,3.0,1.0,0.0,0.0,0.0,1.0,6.540566037735848,6.540566037735848
Stock,AVR19515,3.0,2.0,1.0,0.0,0.0,0.0,1.0,26.573809523809523,26.573809523809523
Stock,AVR19517,2.0,1.0,1.0,0.0,0.0,0.0,1.0,21.50808988764045,21.50808988764045
Stock,AVR24779,7.0,6.0,1.0,0.0,0.0,0.0,1.0,4.509677419354839,4.509677419354839
Stock,AVR26215,2.0,1.0,1.0,0.0,0.0,0.0,1.0,6.7441666666666675,6.7441666666666675
Stock,AVR26234,3.0,2.0,1.0,0.0,0.0,0.0,1.0,7.227096774193548,7.227096774193548
Stock,AVR26241,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.35923076923077,8.35923076923077
Stock,AVR26245,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.5980000000000003,3.5980000000000003
Stock,AVR26250,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.960526315789474,8.960526315789474
Stock,PC10762,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.359016393442623,3.359016393442623
Stock,PC10805,13.0,12.0,1.0,0.0,0.0,0.0,1.0,4.729211618257262,4.729211618257262
Stock,PC10859,11.0,10.0,1.0,0.0,0.0,0.0,1.0,5.984375,5.984375
Stock,PC10875,10.0,9.0,1.0,0.0,0.0,0.0,1.0,3.948205128205128,3.948205128205128
Stock,PC10886,9.0,8.0,1.0,0.0,0.0,0.0,1.0,4.522435897435898,4.522435897435898
Stock,PC10936,3.0,2.0,1.0,0.0,0.0,0.0,1.0,5.230113636363637,5.230113636363637
Stock,PC10971,7.0,6.0,1.0,0.0,0.0,0.0,1.0,5.033797216699801,5.033797216699801
Stock,PC11004,11.0,10.0,1.0,0.0,0.0,0.0,1.0,2.9545228215767634,2.9545228215767634
Stock,PC11023,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.2586206896551724,1.2586206896551724
Stock,PC11043,8.0,7.0,1.0,0.0,0.0,0.0,1.0,3.5650450450450455,3.5650450450450455
Stock,PC14363,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.861739130434782,2.861739130434782
Stock,PC21853,15.0,14.0,1.0,0.0,0.0,0.0,1.0,6.4002669039145905,6.4002669039145905
Stock,AVR11110,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0
Stock,AVR15036,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,AVR15646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,AVR15664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,AVR15738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,AVR16058,7.0,7.0,0.0,0.0,0.0,0.0,0.0,4.120833333333334,0.0
Stock,AVR16195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,AVR17375,38.0,38.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0
Stock,AVR17709,9.0,9.0,0.0,0.0,0.0,0.0,0.0,13.015882352941176,0.0
Stock,AVR18527,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.6826923076923075,0.0
Stock,AVR20752,8.0,8.0,0.0,0.0,0.0,0.0,0.0,5.991071428571429,0.0
Stock,AVR23051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0
Stock,AVR23182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,AVR26221,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.126923076923077,0.0
Stock,AVR26226,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.284155844155844,0.0
Stock,AVR26230,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.056739130434783,0.0
Stock,AVR26232,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.059130434782609,0.0
Stock,AVR26239,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.298,0.0
Stock,AVR26249,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.562857142857142,0.0
Stock,AVR27451,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.054107142857143,0.0
Stock,PC00889,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.6051875,0.0
Stock,PC10724,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.425,0.0
Stock,PC10751,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.235,0.0
Stock,PC10800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,PC10881,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.13804347826087,0.0
Stock,PC10897,10.0,10.0,0.0,0.0,0.0,0.0,0.0,6.326271186440678,0.0
Stock,PC10923,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.201923076923077,0.0
Stock,PC10939,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.556304347826087,0.0
Stock,PC10968,11.0,11.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,0.0
Stock,PC11013,7.0,7.0,0.0,0.0,0.0,0.0,0.0,4.7672767857142855,0.0
Stock,PC11015,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.71246511627907,0.0
Stock,PC11021,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.4358108108108105,0.0
Stock,PC11049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock,PC11054,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.985,0.0
Stock,PC11073,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.006885245901639,0.0
Stock,PC11092,10.0,10.0,0.0,0.0,0.0,0.0,0.0,5.6119658119658125,0.0
Stock,PC14014,7.0,7.0,0.0,0.0,0.0,0.0,0.0,11.148524590163936,0.0
Stock,PC14016,9.0,9.0,0.0,0.0,0.0,0.0,0.0,5.890761904761905,0.0
Stock,PC16535,15.0,15.0,0.0,0.0,0.0,0.0,0.0,3.4573643410852712,0.0
Stock,PC19076,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.568646864686468,0.0
Stock,AVR11112,6.0,7.0,-1.0,0.0,0.0,0.0,-1.0,6.203939393939393,-6.203939393939393
Stock,AVR14655,1.0,2.0,-1.0,0.0,0.0,0.0,-1.0,4.941787439613527,-4.941787439613527
Stock,AVR16080,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-0.0
Stock,AVR17756,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.41,-0.41
Stock,AVR18805,2.0,3.0,-1.0,0.0,0.0,0.0,-1.0,11.325,-11.325
Stock,AVR19716,1.0,2.0,-1.0,0.0,0.0,0.0,-1.0,26.05481481481481,-26.05481481481481
Stock,AVR22396,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-0.0
Stock,AVR24552,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-0.0
Stock,AVR24663,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,25.0,-25.0
Stock,AVR26020,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,24.0,-24.0
Stock,AVR26229,1.0,2.0,-1.0,0.0,0.0,0.0,-1.0,6.38061224489796,-6.38061224489796
Stock,AVR26235,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,5.3100000000000005,-5.3100000000000005
Stock,AVR26237,1.0,2.0,-1.0,0.0,0.0,0.0,-1.0,3.694,-3.694
Stock,AVR27339,1.0,2.0,-1.0,0.0,0.0,0.0,-1.0,4.7299999999999995,-4.7299999999999995
Stock,AVR27341,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,12.576666666666666,-12.576666666666666
Stock,AVR27342,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,8.076666666666666,-8.076666666666666
Stock,AVR27343,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,9.207142857142857,-9.207142857142857
Stock,AVR27445,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,7.585,-7.585
Stock,AVR27614,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,6.75,-6.75
Stock,AVR28084,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-0.0
Stock,PC10733,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,2.7946875,-2.7946875
Stock,PC10798,11.0,12.0,-1.0,0.0,0.0,0.0,-1.0,5.491474654377881,-5.491474654377881
Stock,PC10870,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,5.2681818181818185,-5.2681818181818185
Stock,PC10884,1.0,2.0,-1.0,0.0,0.0,0.0,-1.0,4.319916666666667,-4.319916666666667
Stock,PC10890,3.0,4.0,-1.0,0.0,0.0,0.0,-1.0,0.56,-0.56
Stock,PC10899,5.0,6.0,-1.0,0.0,0.0,0.0,-1.0,4.73656862745098,-4.73656862745098
Stock,PC10986,9.0,10.0,-1.0,0.0,0.0,0.0,-1.0,3.7427731092436973,-3.7427731092436973
Stock,PC10988,10.0,11.0,-1.0,0.0,0.0,0.0,-1.0,4.774886363636363,-4.774886363636363
Stock,PC11008,11.0,12.0,-1.0,0.0,0.0,0.0,-1.0,2.6075675675675676,-2.6075675675675676
Stock,PC11027,10.0,11.0,-1.0,0.0,0.0,0.0,-1.0,1.5675,-1.5675
Stock,PC11042,5.0,6.0,-1.0,0.0,0.0,0.0,-1.0,5.322703583061889,-5.322703583061889
Stock,PC11048,6.0,7.0,-1.0,0.0,0.0,0.0,-1.0,1.0413725490196077,-1.0413725490196077
Stock,PC11055,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,4.718,-4.718
