location,product_id,sales_units,product_name,adj_qty,start_qty,end_qty,expected_qty,shrinkage_qty
HIE - Rancho Cucamonga Market,PC10806,0.0,Minute Maid Lemonade 20oz,0.0,11.0,0.0,11.0,11.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10893,0.0,Cheetos Puffs,0.0,11.0,0.0,11.0,11.0
HIE - Rancho Cucamonga Market,PC10891,0.0,Cheetos Flamin Hot,0.0,11.0,0.0,11.0,11.0
Embassy Suites by Hilton Palm Desert,PC10726,25.0,Smart Water 1L,0.0,210.0,174.0,185.0,11.0
Altura HOC 1st Floor Market,PC00885,0.0,Coke 20oz,0.0,19.0,8.0,19.0,11.0
Holiday Inn Oceanside Camp Pendleton Area,AVR14634,1.0,Sour Patch Kids Watermelon,0.0,22.0,11.0,21.0,10.0
Homewood Suites by Hilton Carlsbad,PC00888,10.0,Smart Water 20oz,0.0,42.0,22.0,32.0,10.0
Ramada by Wyndham Barstow,PC10889,0.0,Cheetos Crunchy,0.0,14.0,4.0,14.0,10.0
HIE - Manchester Market,PC10891,3.0,Cheetos Flamin Hot,0.0,24.0,11.0,21.0,10.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,AVR20336,0.0,Boulder Avocado Oil Kettle Chips,0.0,10.0,0.0,10.0,10.0
Dolphin's Cove,PC16271,2.0,Gatorade Fruit Punch 20oz,0.0,12.0,0.0,10.0,10.0
FFI - Moorpark Market,PC16274,5.0,Gatorade Lemon Lime 20oz,0.0,24.0,9.0,19.0,10.0
FFI - Moorpark Market,PC10821,26.0,Pepsi 20oz,0.0,54.0,18.0,28.0,10.0
Long Beach Convention Center Promenade,AVR23588,0.0,Pepsi Diet 12oz Sleek Cans,0.0,107.0,97.0,107.0,10.0
Comfort Inn - Gaslamp Convention Center,PC11091,0.0,Twix Caramel,0.0,10.0,0.0,10.0,10.0
Crowne Plaza San Diego-Mission Valley,PC11092,1.0,Tylenol Extra Strength,0.0,19.0,8.0,18.0,10.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10936,0.0,Easy Mac Original Cups,0.0,10.0,0.0,10.0,10.0
Surestay Twentynine Palms Market,PC00887,0.0,Sprite 20oz,0.0,28.0,18.0,28.0,10.0
HIE - Rancho Cucamonga Market,PC10808,0.0,Monster 16oz,0.0,10.0,0.0,10.0,10.0
HIE - Rancho Cucamonga Market,PC10793,0.0,Dr Pepper 20oz,0.0,10.0,0.0,10.0,10.0
Ayres Hotel Manhattan Beach Hawthorne,PC10832,0.0,Starbucks Vanilla Frapuccino RTD 9.5oz,0.0,10.0,0.0,10.0,10.0
HIE - Rancho Cucamonga Market,PC10888,0.0,Chapstick,0.0,10.0,0.0,10.0,10.0
HIE - Rancho Cucamonga Market,PC11092,0.0,Tylenol Extra Strength,0.0,10.0,0.0,10.0,10.0
HIE - Rancho Cucamonga Market,PC16506,0.0,El Monterey Egg Sausage Cheese & Potato Burrito,0.0,10.0,0.0,10.0,10.0
HIE - Rancho Cucamonga Market,PC10939,0.0,El Monterey Jalapeno Egg Cheese Burrito,0.0,10.0,0.0,10.0,10.0
Holiday Inn Express & Suites Barstow,PC00888,5.0,Smart Water 20oz,0.0,61.0,47.0,56.0,9.0
Holiday Inn Express & Suites San Dimas,AVR18528,3.0,Fairlife 2% Reduced Fat Ultra-Filtered Milk 14oz,0.0,14.0,2.0,11.0,9.0
HIE - Rancho Cucamonga Market,PC10852,0.0,Alka Seltzer,0.0,9.0,0.0,9.0,9.0
HIE - Rancho Cucamonga Market,PC11020,0.0,NyQuil,0.0,9.0,0.0,9.0,9.0
Motel 6 Carson,PC10896,0.0,Claritin,0.0,12.0,3.0,12.0,9.0
Inn at the Park,PC00888,1.0,Smart Water 20oz,0.0,44.0,34.0,43.0,9.0
Best Western Plus LAX Market,PC10793,0.0,Dr Pepper 20oz,0.0,14.0,5.0,14.0,9.0
Courtyard Chino Hills,PC21853,0.0,Nestle Tollhouse Chocolate Chip Cookie Sandwich,0.0,10.0,1.0,10.0,9.0
Ramada National City Market,PC10959,0.0,Hot Pocket Pepperoni Pizza,0.0,12.0,3.0,12.0,9.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC11084,0.0,Takis Fuego,0.0,14.0,5.0,14.0,9.0
HIE - Manchester Market,PC10931,0.0,Doritos Cool Ranch,0.0,11.0,2.0,11.0,9.0
WorldMark - Oceanside Market,PC11101,0.0,Welchs Mixed Fruit Snack 2.25oz,0.0,11.0,2.0,11.0,9.0
Fairfield by Marriott Anaheim North-Buena Park,PC10958,0.0,Hot Pocket Ham & Cheese,0.0,15.0,6.0,15.0,9.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10882,0.0,Butterfinger,0.0,12.0,3.0,12.0,9.0
FFI - Moorpark Market,PC16273,0.0,Crush Orange 20oz,0.0,11.0,2.0,11.0,9.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC00886,0.0,Coke Diet 20oz,0.0,13.0,4.0,13.0,9.0
Four Points Sheraton - Ventura,PC11004,6.0,Munchies Flamin Hot,0.0,24.0,9.0,18.0,9.0
BLVD Hotel & Spa,PC10788,0.0,Celsius Sparkling Orange 12oz,0.0,15.0,6.0,15.0,9.0
WorldMark Big Bear,PC10831,0.0,Starbucks Mocha Frappuccino RTD 9.5oz,0.0,22.0,13.0,22.0,9.0
BLVD Hotel & Spa,PC10761,2.0,Lunchables Ham & Cheddar,0.0,11.0,0.0,9.0,9.0
First Service Residential Shared Services Market,PC10827,0.0,Red Bull Sugar Free 8.4oz,0.0,15.0,6.0,15.0,9.0
HIE - Rancho Cucamonga Market,PC10962,0.0,Jack Links Teriyaki Beef Jerky 70 Cal,0.0,8.0,0.0,8.0,8.0
HIE - Rancho Cucamonga Market,PC10897,0.0,Clear Eyes Solution 0.2oz,0.0,8.0,0.0,8.0,8.0
HIE - Rancho Cucamonga Market,PC10909,0.0,DayQuil,0.0,8.0,0.0,8.0,8.0
Hawthorn Suites by Wyndham Victorville Market,PC10805,0.0,Minute Maid Apple Juice 12oz,0.0,11.0,3.0,11.0,8.0
HIE - Rancho Cucamonga Market,PC11015,0.0,Nongshim Spicy Shin Noodle Soup,0.0,8.0,0.0,8.0,8.0
Holiday Inn Oceanside Camp Pendleton Area,PC10891,2.0,Cheetos Flamin Hot,0.0,18.0,8.0,16.0,8.0
HIE - Rancho Cucamonga Market,AVR17709,0.0,Haagen Dazs Chocolate Ice Cream 14oz,0.0,8.0,0.0,8.0,8.0
Holiday Inn Express & Suites Barstow,PC10823,6.0,Powerade Mountain Berry Blast 20oz,0.0,15.0,1.0,9.0,8.0
Motel 6 Westminster North,PC00886,0.0,Coke Diet 20oz,0.0,19.0,11.0,19.0,8.0
MainStay Suites Moreno Valley,PC00888,15.0,Smart Water 20oz,0.0,62.0,39.0,47.0,8.0
HIE - Rancho Cucamonga Market,PC10932,0.0,Doritos Nacho Cheese,0.0,8.0,0.0,8.0,8.0
Holiday Inn Express & Suites Barstow,PC11064,3.0,Snickers Ice Cream Bar,0.0,23.0,12.0,20.0,8.0
Ramada National City Market,AVR19716,0.0,Anker USB-C to Lightning 6ft Cable,0.0,8.0,0.0,8.0,8.0
Cimarron Resort Condominium Association,AVR14655,0.0,Dr Pepper Zero 20oz,0.0,5.0,-3.0,5.0,8.0
Ramada National City Market,PC11091,2.0,Twix Caramel,0.0,10.0,0.0,8.0,8.0
Crowne Plaza San Diego-Mission Valley,AVR14634,2.0,Sour Patch Kids Watermelon,0.0,16.0,6.0,14.0,8.0
San Manuel Service Center,PC00886,2.0,Coke Diet 20oz,0.0,17.0,7.0,15.0,8.0
Ayres Hotel Manhattan Beach Hawthorne,PC10807,0.0,Minute Maid Orange Juice 12oz,0.0,8.0,0.0,8.0,8.0
Ramada by Wyndham Hawthorne-LA Stadium,PC10962,0.0,Jack Links Teriyaki Beef Jerky 70 Cal,0.0,11.0,3.0,11.0,8.0
Inn at the Park,PC10891,0.0,Cheetos Flamin Hot,0.0,12.0,4.0,12.0,8.0
Clarion Hotel Market,PC11088,0.0,Trident Spearmint,0.0,9.0,1.0,9.0,8.0
Comfort Inn - Gaslamp Convention Center,PC10798,0.0,Gatorade Cool Blue 20oz,0.0,11.0,3.0,11.0,8.0
FFI - Moorpark Market,PC16264,4.0,Dole Orange Juice,0.0,22.0,10.0,18.0,8.0
Ramada National City Market,PC10955,0.0,Hersheys Almond King,0.0,9.0,1.0,9.0,8.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC11010,0.0,Nestle Crunch Dibs,0.0,24.0,16.0,24.0,8.0
Comfort Inn - Gaslamp Convention Center,PC16271,0.0,Gatorade Fruit Punch 20oz,0.0,11.0,3.0,11.0,8.0
Staybridge Suites Palmdale,PC11010,4.0,Nestle Crunch Dibs,0.0,29.0,17.0,25.0,8.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10900,0.0,Cliff Bar Peanut Butter,0.0,12.0,4.0,12.0,8.0
BLVD Hotel & Spa,PC11157,4.0,Dasani 20oz,0.0,77.0,65.0,73.0,8.0
Ramada by Wyndham Barstow,PC00889,3.0,Snickers,0.0,32.0,21.0,29.0,8.0
HIE - Rancho Cucamonga Market,PC10889,0.0,Cheetos Crunchy,0.0,8.0,0.0,8.0,8.0
Surestay Twentynine Palms Market,PC11004,0.0,Munchies Flamin Hot,0.0,30.0,22.0,30.0,8.0
Best Western Plus Meridian Market,PC21186,0.0,Digiorno Pepperoni Cheese Pizza,0.0,11.0,3.0,11.0,8.0
Holiday Inn Diamond Bar-Pomona,PC00887,4.0,Sprite 20oz,0.0,24.0,12.0,20.0,8.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10909,0.0,DayQuil,0.0,12.0,4.0,12.0,8.0
WorldMark San Diego Balboa Park,PC11157,1.0,Dasani 20oz,0.0,35.0,26.0,34.0,8.0
Queens Inn Anaheim,PC11039,0.0,Pringles Sour Cream & Onion,0.0,8.0,0.0,8.0,8.0
SureStay by Best Western Ontario Airport,PC00887,2.0,Sprite 20oz,0.0,17.0,7.0,15.0,8.0
Embassy Suites by Hilton Anaheim North,AVR20393,0.0,Disney Key Chain RG Get Stitch,0.0,19.0,11.0,19.0,8.0
Anaheim Desert Inn and Suites,AVR18525,4.0,Core Power High Protein Shake Vanilla 14oz,0.0,20.0,8.0,16.0,8.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC00888,0.0,Smart Water 20oz,0.0,35.0,27.0,35.0,8.0
Courtyard Chino Hills,AVR27820,0.0,Naked Juice Smoothie Mighty Mango 15.2oz,0.0,8.0,0.0,8.0,8.0
First Service Residential Shared Services Market,PC10997,0.0,Milk Shamrock Lowfat 7oz,0.0,8.0,0.0,8.0,8.0
Comfort Inn - Gaslamp Convention Center,AVR14655,0.0,Dr Pepper Zero 20oz,0.0,7.0,0.0,7.0,7.0
Ramada National City Market,PC00885,14.0,Coke 20oz,0.0,98.0,77.0,84.0,7.0
Crowne Plaza San Diego-Mission Valley,PC11091,0.0,Twix Caramel,0.0,14.0,7.0,14.0,7.0
Crowne Plaza San Diego-Mission Valley,AVR23602,0.0,Pocky Strawberry Sticks 2.47oz,0.0,12.0,5.0,12.0,7.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10943,0.0,Razor,0.0,10.0,3.0,10.0,7.0
WorldMark Palm Springs,PC10793,6.0,Dr Pepper 20oz,0.0,20.0,7.0,14.0,7.0
Dolphin's Cove,PC10807,4.0,Minute Maid Orange Juice 12oz,0.0,16.0,5.0,12.0,7.0
E-Central Downtown Los Angeles Hotel,PC10765,0.0,String Cheese Frigo,0.0,7.0,0.0,7.0,7.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10978,0.0,Lays Regular Classic,0.0,11.0,4.0,11.0,7.0
Anaheim Desert Inn and Suites,AVR17700,4.0,Gatorlyte Zero Strawberry Kiwi 20 oz,0.0,22.0,11.0,18.0,7.0
The Westin Pasadena,PC10821,38.0,Pepsi 20oz,0.0,72.0,27.0,34.0,7.0
First Service Residential Shared Services Market,PC10820,0.0,Peace Tea Razzleberry,0.0,7.0,0.0,7.0,7.0
First Service Residential Shared Services Market,PC10818,0.0,Peace Tea Georgia Peach,0.0,7.0,0.0,7.0,7.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10991,0.0,Maruchan Lime Chili Shrimp Cup Soup,0.0,11.0,4.0,11.0,7.0
"Sandbourne Santa Monica, Autograph Collection",AVR23097,4.0,Twix Ice Cream Bar 3oz,0.0,64.0,53.0,60.0,7.0
Ramada by Wyndham Barstow,PC10932,0.0,Doritos Nacho Cheese,0.0,11.0,4.0,11.0,7.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC11081,0.0,Sweet Serenity Chocolate Chip Cookies,0.0,8.0,1.0,8.0,7.0
Comfort Inn - Gaslamp Convention Center,PC10851,0.0,Albanese Gummi Bears 12 Flavor - 3.5oz,0.0,8.0,1.0,8.0,7.0
Four Points Sheraton - Ventura,AVR18857,0.0,Dramamine Motion Sickness Chewable,0.0,12.0,5.0,12.0,7.0
WorldMark Big Bear,PC00885,1.0,Coke 20oz,0.0,17.0,9.0,16.0,7.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC11013,0.0,Nongshim Mild Chicken Noodle Soup,0.0,10.0,3.0,10.0,7.0
Holiday Inn Oceanside Camp Pendleton Area,PC10889,0.0,Cheetos Crunchy,0.0,11.0,4.0,11.0,7.0
Days Inn & Suites Anaheim,PC11024,2.0,Otis Muffin Banana Nut,0.0,11.0,2.0,9.0,7.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC10901,0.0,Cliff Bar White Chocolate Macadamia,0.0,12.0,5.0,12.0,7.0
Holiday Inn Oceanside Camp Pendleton Area,AVR18525,0.0,Core Power High Protein Shake Vanilla 14oz,0.0,7.0,0.0,7.0,7.0
SureStay Hotel by Best Western Beverly Hills,PC00885,0.0,Coke 20oz,0.0,28.0,21.0,28.0,7.0
San Manuel Service Center,PC11051,1.0,Sahale Honey Almonds,0.0,8.0,0.0,7.0,7.0
Queens Inn Anaheim,PC10793,2.0,Dr Pepper 20oz,0.0,12.0,3.0,10.0,7.0
Hilton Garden Inn-Home2 Suites Anaheim Resort,PC10882,8.0,Butterfinger,0.0,41.0,26.0,33.0,7.0
HIE - Rancho Cucamonga Market,PC10972,0.0,Knotts Strawberry Cookie,0.0,7.0,0.0,7.0,7.0
Holiday Inn Express Port Hueneme,PC11045,0.0,Rice Krispies Treats Original 1.41oz,0.0,7.0,0.0,7.0,7.0
Best Western Oceanside Inn,PC10909,0.0,DayQuil,0.0,12.0,5.0,12.0,7.0
Ramada National City Market,PC11043,1.0,Reeses PB Cup,0.0,12.0,4.0,11.0,7.0
Best Western Plus Meridian Market,PC10958,2.0,Hot Pocket Ham & Cheese,0.0,11.0,2.0,9.0,7.0
HIE - Rancho Cucamonga Market,PC11013,0.0,Nongshim Mild Chicken Noodle Soup,0.0,7.0,0.0,7.0,7.0
Motel 6 Carson,AVR00150,0.0,Pure Leaf Raspberry Tea - 18.5oz,0.0,15.0,8.0,15.0,7.0
Best Western Plus LAX Market,PC10971,0.0,Kit Kat King,0.0,6.0,-1.0,6.0,7.0
Motel 6 Westminster North,PC10790,6.0,Coke Zero 20oz,0.0,32.0,19.0,26.0,7.0
Best Western Plus LAX Market,PC10808,0.0,Monster 16oz,0.0,8.0,1.0,8.0,7.0
Ramada by Wyndham Barstow,PC11004,0.0,Munchies Flamin Hot,0.0,12.0,5.0,12.0,7.0
Surestay Twentynine Palms Market,PC11091,0.0,Twix Caramel,0.0,17.0,10.0,17.0,7.0
Hilton Garden Inn-Home2 Suites Anaheim Resort,AVR26365,0.0,Blue Diamond Almonds Roasted Salted,0.0,7.0,0.0,7.0,7.0
HIE - Rancho Cucamonga Market,PC10938,0.0,El Monterey Beef and Bean Burrito,0.0,7.0,0.0,7.0,7.0
Holiday Inn Express & Suites Hesperia Market,PC11004,0.0,Munchies Flamin Hot,0.0,17.0,10.0,17.0,7.0
Best Western Plus Redondo Beach Inn,PC10793,3.0,Dr Pepper 20oz,0.0,19.0,10.0,16.0,6.0
Comfort Inn & Suites Near Universal N. Hollywood,PC11068,1.0,Sour Patch Kids,0.0,23.0,16.0,22.0,6.0
Surestay Twentynine Palms Market,AVR25512,0.0,Peace Tea Georgia Peach 16oz,0.0,9.0,3.0,9.0,6.0
Surestay Twentynine Palms Market,PC10726,0.0,Smart Water 1L,0.0,36.0,30.0,36.0,6.0
Quality Inn & Suites Camarillo-Oxnard,PC10889,2.0,Cheetos Crunchy,0.0,14.0,6.0,12.0,6.0
HIE - Rancho Cucamonga Market,PC14014,0.0,Digiorno Four Cheese Pizza,0.0,6.0,0.0,6.0,6.0
HIE - Rancho Cucamonga Market,PC11007,0.0,Nature Valley Granola Oat & Honey,0.0,6.0,0.0,6.0,6.0
Bobrick Market,AVR10757,51.0,Trader Joe's 1,0.0,-1356.0,-1413.0,-1407.0,6.0
Holiday Inn Diamond Bar-Pomona,PC10925,5.0,Dolly Madison Chocolate Cupcakes,0.0,11.0,0.0,6.0,6.0
Anaheim Desert Inn and Suites,AVR14641,2.0,Hillshire Italian Dry Salame,0.0,23.0,15.0,21.0,6.0
Queens Inn Anaheim,PC10825,0.0,Red Bull 8.4oz,0.0,6.0,0.0,6.0,6.0
Altura HOC 1st Floor Market,AVR14642,1.0,Hillshire Genoa Salame,0.0,18.0,11.0,17.0,6.0
Holiday Inn Express & Suites Barstow,PC21853,8.0,Nestle Tollhouse Chocolate Chip Cookie Sandwich,0.0,14.0,0.0,6.0,6.0
Ramada National City Market,PC11039,0.0,Pringles Sour Cream & Onion,0.0,9.0,3.0,9.0,6.0
Motel 6 Westminster North,PC10932,5.0,Doritos Nacho Cheese,0.0,13.0,2.0,8.0,6.0
Motel 6 Westminster North,PC10831,0.0,Starbucks Mocha Frappuccino RTD 9.5oz,0.0,6.0,0.0,6.0,6.0
Clarion Hotel Market,PC10808,9.0,Monster 16oz,0.0,33.0,18.0,24.0,6.0
