,,,,,,,,,,,,,,,,Ultraserv Automated Services
,,,,,,,,,,,,,,,,"16722 Parkside Ave, "
,,,,,,,,,,,,,,,,"Cerritos, CA, 90703"
Sales By Products Report,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Date,,,,End Date,,,,,,,,,,,Report Date,
2025-12-08,,,,2025-12-22,,,,,,,,,,,12-23-2025 04:03:38 PST,
,,,,,,,,,,,,,,,,
Micromarket,Product,Category,Cost,Selling Price,Total Sold,Total Sales,Sales Tax,Container Deposit,Other Tax,Other Fees,COGS,Subsidy,Gift Amount,Gross Sales,Total COGS,
Comfort Inn & Suites Near Universal N. Hollywood,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,1.24,0.15,0,0,3.84,,0,14.14,5.23,
Holiday Inn Hotel & Suites Monterey Park,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,2,9,0.94,0.1,0,0,2.56,,0,10.04,3.6,
Holiday Inn Express & Suites Corona,Sprite 20oz,Bev 20 Oz Bottle,1.28,2.55,2,5.1,0.45,0.1,0,0,2.56,,0,5.65,3.11,
Holiday Inn Express & Suites Corona,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,6,25.5,2.23,0.3,0,0,7.68,,0,28.03,10.21,
Ayres Hotel Anaheim,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,17,76.5,5.93,0.85,0,0,21.76,,0,83.28,28.54,
Ayres Hotel Fountain Valley,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,2,8.5,0.74,0.1,0,0,2.56,,0,9.34,3.4,
Del Sol Inn Anaheim,Sprite 20oz,Bev 20 Oz Bottle,1.28,2.7,2,5.4,0.42,0.1,0,0,2.56,,0,5.92,3.08,
Del Sol Inn Anaheim,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,7,31.5,2.44,0.35,0,0,8.96,,0,34.29,11.75,
Motel 6 Westminster North,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,4,17,1.57,0.2,0,0,5.12,,0,18.77,6.89,
Executive Residency by Best Western Victorville,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,4,17,1.49,0.2,0,0,5.12,,0,18.69,6.81,
Holiday Inn & Suites Barstow,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,2,8.5,0.74,0.1,0,0,2.56,,0,9.34,3.4,
Holiday Inn Express & Suites San Dimas,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,1,4.25,0.41,0.05,0,0,1.28,,0,4.71,1.74,
Ramada by Wyndham Hawthorne-LA Stadium,Sprite 20oz,Bev 20 Oz Bottle,1.28,2.55,2,5.1,0.54,0.1,0,0,2.56,,0,5.74,3.2,
Ramada by Wyndham Hawthorne-LA Stadium,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,11,46.75,4.91,0.55,0,0,14.08,,0,52.21,19.54,
Ayres Hotel Seal Beach,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,7,29.75,2.75,0.35,0,0,8.96,,0,32.85,12.06,
Peacock Suites,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,5,21.25,1.65,0.25,0,0,6.4,,0,23.15,8.3,
Crowne Plaza San Diego-Mission Valley,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,4,18,1.4,0.2,0,0,5.12,,0,19.6,6.72,
Comfort Suites Oceanside Camp Pendleton,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,1.05,0.15,0,0,3.84,,0,13.95,5.04,
City24 Hotel- Little Italy Mission Hills,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,0.99,0.15,0,0,3.84,,0,13.89,4.98,
Ayres Suites Yorba Linda,Sprite 20oz,Bev 20 Oz Bottle,1.28,2.55,1,2.55,0.2,0.05,0,0,1.28,,0,2.8,1.53,
Ayres Suites Yorba Linda,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,0.99,0.15,0,0,3.84,,0,13.89,4.98,
Best Western Oceanside Inn,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,1,4.25,0.35,0.05,0,0,1.28,,0,4.65,1.68,
Holiday Inn & Suites Anaheim,Sprite 20oz,Bev 20 Oz Bottle,1.28,5,16,80,6.2,0.8,0,0,20.48,,0,87,27.48,
Quality Inn Placentia Anaheim Fullerton,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,8,34,2.98,0.4,0,0,10.24,,0,37.38,13.62,
Quality Inn & Suites Camarillo-Oxnard,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,5,22.5,1.63,0.25,0,0,6.4,,0,24.38,8.28,
Lincoln Hotel Monterey Park,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,5,21.25,2.23,0.25,0,0,6.4,,0,23.73,8.88,
Motel 6 Carlsbad,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,10,42.5,3.29,0.5,0,0,12.8,,0,46.29,16.59,
La Quinta Inn and Suites La Habra,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,1,4.25,0.37,0.05,0,0,1.28,,0,4.67,1.7,
Ayres Hotel Chino Hills,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,6,27,2.09,0.3,0,0,7.68,,0,29.39,10.07,
Ayres Hotel and Spa Mission Viejo,Sprite 20oz,Bev 20 Oz Bottle,1.28,2.7,2,5.4,0.42,0.1,0,0,2.56,,0,5.92,3.08,
Ayres Hotel and Spa Mission Viejo,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,9,40.5,3.14,0.45,0,0,11.52,,0,44.09,15.11,
Anaheim Desert Inn and Suites,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,12,54,4.19,0.6,0,0,15.36,,0,58.79,20.15,
Comfort Suites Barstow,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,2,8.5,0.74,0.1,0,0,2.56,,0,9.34,3.4,
Ayres Hotel Manhattan Beach Hawthorne,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.25,1,4.25,0.45,0.05,0,0,1.28,,0,4.75,1.78,
Hilton Garden Inn-Home2 Suites Anaheim Resort,Sprite 20oz,Bev 20 Oz Bottle,1.28,2.5,2,5,0.39,0.1,0,0,2.56,,0,5.49,3.05,
Hilton Garden Inn-Home2 Suites Anaheim Resort,Sprite 20oz,Bev 20 Oz Bottle,1.28,5,34,170,13.18,1.7,0,0,43.52,,0,184.88,58.4,
The Anza A Calabasas Hotel,Sprite 20oz,Bev 20 Oz Bottle,1.28,3.6,1,3.6,0.35,0.05,0,0,1.28,,0,4,1.68,
The Anza A Calabasas Hotel,Sprite 20oz,Bev 20 Oz Bottle,1.28,6,5,30,2.92,0.25,0,0,6.4,,0,33.17,9.57,
Best Western Plus LA Mid-Town Hotel,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,10,45,4.39,0.5,0,0,12.8,,0,49.89,17.69,
E-Central Downtown Los Angeles Hotel,Sprite 20oz,Bev 20 Oz Bottle,1.28,6,17,102,9.95,0.85,0,0,21.76,,0,112.79,32.55,
The Hotel Amarano Burbank-Hollywood,Sprite 20oz,Bev 20 Oz Bottle,1.28,6,2,12,1.26,0.1,0,0,2.56,,0,13.36,3.92,
Best Western Plus Redondo Beach Inn,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,4,18,1.76,0.2,0,0,5.12,,0,19.96,7.08,
DoubleTree by Hilton Hotel Los Angeles - Rosemead,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,13,58.5,5.7,0.65,0,0,16.64,,0,64.85,22.99,
Ayres Suites Mission Viejo - Lake Forest,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,8,36,2.79,0.4,0,0,10.24,,0,39.19,13.43,
Best Western Plus Marina Shores Hotel,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,4,18,1.4,0.2,0,0,5.12,,0,19.6,6.72,
Motel 6 Los Angeles - LAX,Sprite 20oz,Bev 20 Oz Bottle,1.28,5,2,10,1.02,0.1,0,0,2.56,,0,11.12,3.69,
Downey Inn,Sprite 20oz,Bev 20 Oz Bottle,1.28,4.5,1,4.5,0.47,0.05,0,0,1.28,,0,5.02,1.8,
Desert Palms Market,Smart Water 20oz,Bev Water,1.28,6,55,330,0,2.75,0,0,70.4,,0,332.75,73.15,
Ramada Inn Burbank Market,Smart Water 20oz,Bev Water,1.28,5.5,28,154,0,1.4,0,0,35.84,,0,155.4,37.24,
Miyako Torrance Market,Smart Water 20oz,Bev Water,1.28,5,9,45,0,0.45,0,0,11.52,,0,45.45,11.97,
HIE - Manchester Market,Smart Water 20oz,Bev Water,1.28,6,33,198,0,1.65,0,0,42.24,,0,199.65,43.89,
Comfort Inn - Anaheim,Smart Water 20oz,Bev Water,1.28,5,19,95,0,0.95,0,0,24.32,,0,95.95,25.27,
Ramada Anaheim Convention Center,Smart Water 20oz,Bev Water,1.28,5,16,80,0,0.8,0,0,20.48,,0,80.8,21.28,
HIE - Twentynine Palms Market,Smart Water 20oz,Bev Water,1.28,4.5,17,76.5,0,0.85,0,0,21.76,,0,77.35,22.61,
Altura HOC 1st Floor Market,Smart Water 20oz,Bev Water,1.28,1.99,5,9.95,0,0.25,0,0,6.4,,0,10.2,6.65,
Altura HOC 2nd Floor Market,Smart Water 20oz,Bev Water,1.28,1.99,2,3.98,0,0.1,0,0,2.56,,0,4.08,2.66,
Ramada National City Market,Smart Water 20oz,Bev Water,1.28,4.5,5,22.5,0,0.25,0,0,6.4,,0,22.75,6.65,
Holiday Inn Ontario Airport Market,Smart Water 20oz,Bev Water,1.28,5.5,81,445.5,0,4.05,0,0,103.68,,0,449.55,107.73,
City Express Rancho Cucamonga,Smart Water 20oz,Bev Water,1.28,3,1,3,0,0.05,0,0,1.28,,0,3.05,1.33,
City Express Rancho Cucamonga,Smart Water 20oz,Bev Water,1.28,5,38,190,0,1.9,0,0,48.64,,0,191.9,50.54,
SureStay by Best Western Ontario Airport,Smart Water 20oz,Bev Water,1.28,5,3,15,0,0.15,0,0,3.84,,0,15.15,3.99,
