,,,,,,,,,Ultraserv Automated Services
,,,,,,,,,"16722 Parkside Ave, "
,,,,,,,,,"Cerritos, CA, 90703"
Stock Analysis Report,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Report Date
,,,,,,,,,12-03-2025 20:40:47 PST
,,,,,,,,,
Customer/Location,Micromarket,Category,Product,Total Quantity,Max Quantity,Quantity In Percentage,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Chips,Cheetos Flamin Hot,16,24,66.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Chips,Cheetos Crunchy,6,18,33.33,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Juice,Minute Maid Orange Juice 12oz,7,8,87.5,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Juice,Minute Maid Apple Juice 12oz,7,8,87.5,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 20 Oz Bottle,Coke 20oz,19,21,90.48,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Candy,Skittles Fruit,6,6,100,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Candy,Reeses PB Cup,4,6,66.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Candy,M&M Plain,6,6,100,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Candy,M&M Peanut,3,6,50,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Hot Food,Nongshim Spicy Shrimp Noodle Soup,3,4,75,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Hot Food,Nongshim Spicy Shin Noodle Soup,4,4,100,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Hot Food,Nongshim Mild Chicken Noodle Soup,3,4,75,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Hot Food,Nongshim Hot and Spicy Noodle Soup,3,4,75,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 20 Oz Bottle,Gatorade Cool Blue 20oz,19,21,90.48,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,Hillshire Genoa Salame,18,16,112.5,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,Hillshire Italian Dry Salame,14,16,87.5,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,String Cheese Frigo,5,20,25,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,Lunchables Turkey & Cheddar,0,6,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,Lunchables Ham & Cheddar,1,6,16.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,Chobani Strawberry,6,6,100,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,Chobani Peach,5,6,83.33,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Pastry,Dolly Madison Golden Cream Cake,6,6,100,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Pastry,Otis Muffin Wild Blueberry,4,6,66.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Pastry,Otis Muffin Banana Nut,4,6,66.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Pastry,Dolly Madison Chocolate Cupcakes,0,6,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Hot Food,Maruchan Lime Chili Shrimp Cup Soup,9,12,75,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Hot Food,Maruchan Chicken Cup Soup,11,12,91.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR Burrito Beef,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR Burrito Breakfast Egg & Sausage,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR Breakfast Biscuit Bacon & Egg,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FTY Teriyaki Chicken With Fried Rice & Broccoli 10oz,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR Parfait Mixed Berry,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR Breakfast Bagel & Cream Cheese,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR SLB Chicken Torta Sandwich,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR SLB Triangle PBJ White,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Nuts,Blue Diamond Almonds Smokehouse,5,6,83.33,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Nuts,SnakClub Energizer Trail Mix Premium,4,6,66.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Nuts,Kars Roasted Salted Peanut,1,6,16.67,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Nuts,Orchard Valley Cranberry Almond Cashew,0,6,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Nuts,Orchard Valley Almonds Dark Chocolate,3,6,50,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR SLB Triangle Egg Salad Wheat,3,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR SLB Triangle Tuna Salad Wheat,0,0,0,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Other,Celsius Sparkling Orange 12oz,8,14,57.14,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Other,Celsius Sparkling Watermelon 12oz,14,14,100,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,FR SLB Triangle Ham Wheat,1,0,0,,,
